question,question_cyrl,answers,answers_cyrl,correct_answer,image_url,category,time_limit
Qaysi shartlarda transport vositalaridan foydalanish taqiqlanadi?,Қайси шартларда транспорт воситаларидан фойдаланиш тақиқланади?,"{""Gidravlik tormoz tizimidan suyuqlik oqayotgan bo'lsa"",""Ishchi tormoz tizimi samaradorligi talabga javob bermaydi"",""Kompressor pnevmatik tormoz tizimida o'rnatilgan bosimni taminlay olmagan holatda"",""Ko'rsatilgan barcha holatlarda""}","{""Гидравлик тормоз тизимидан суюқлик оқаётган бўлса"",""Ишчи тормоз тизими самарадорлиги талабга жавоб бермайди"",""Компрессор пневматик тормоз тизимида ўрнатилган босимни таминлай олмаган ҳолатда"",""Кўрсатилган барча ҳолатларда""}",3,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Avtomobilda yoqilgan sarg'ish rangli miltillovchi chiroq yoqilgan holatda harakatlanish uchun imtiyoz beradimi?,Автомобилда ёқилган сарғиш рангли милтилловчи чироқ ёқилган ҳолатда ҳаракатланиш учун имтиёз берадими?,"{""Ha"",""Yo'q""}","{""Ҳа"",""Йўқ""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Yo'lning qarama-qarshi harakat yo'nalishi tomoniga chiqish qachon taqiqlanadi?,Йўлнинг қарама-қарши ҳаракат йўналиши томонига чиқиш қачон тақиқланади?,"{""Ikki tomonlama harakatli, 4ta yoki undan ko'p bo'lakli yo'llarda"",""Ikki tomonlama harakatli, qarama-qarshi yo'nalishdagi transport vositalari oqimlari ikkita uzluksiz chiziqlar bilan ajratilgan, 4ta bo'lakli yo'llarda"",""Yuqoridagi barcha hollarda""}","{""Икки томонлама ҳаракатли, 4та ёки ундан кўп бўлакли йўлларда"",""Икки томонлама ҳаракатли, қарама-қарши йўналишдаги транспорт воситалари оқимлари иккита узлуксиз чизиқлар билан ажратилган, 4та бўлакли йўлларда"",""Юқоридаги барча ҳолларда""}",2,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Yo'naltirgichlarning qaysilari bo'ylab harakatlanishga ruxsat etiladi?,Йўналтиргичларнинг қайсилари бўйлаб ҳаракатланишга рухсат етилади?,"{""Faqat \"" ? \"" yo'nalish bo'ylab"",""Faqat \"" ? \"" yo'nalish bo'ylab"",""Faqat \"" ? \"" yo'nalish bo'ylab"",""Faqat \"" ? \"" va \"" ? \"" yo'nalishlari bo'ylab"",""Faqat \"" ? \"" yo'nalish bo'ylab""}","{""Фақат \"" ? \"" йўналиш бўйлаб"",""Фақат \"" ? \"" йўналиш бўйлаб"",""Фақат \"" ? \"" йўналиш бўйлаб"",""Фақат \"" ? \"" ва \"" ? \"" йўналишлари бўйлаб"",""Фақат \"" ? \"" йўналиш бўйлаб""}",3,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Bunday taniqlik belgisi bilan belgilanadigan transport vositasi:,Бундай таниқлик белгиси билан белгиланадиган транспорт воситаси:,"{""Og'ir vaznli va yirik o'lchamli yuklarni tashuvchi"",""Uzunligi yuk bilan yoki yuksiz 20 metrdan ortiq bo'lgan transport vositasi"",""Furgon yukxonasida odamlarni tashuvchi""}","{""Оғир вазнли ва йирик ўлчамли юкларни ташувчи"",""Узунлиги юк билан ёки юксиз 20 метрдан ортиқ бўлган транспорт воситаси"",""Фургон юкхонасида одамларни ташувчи""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Haydovchi harakatlanishni boshlashidan oldin qanday amallarni bajarishi kerak?,Ҳайдовчи ҳаракатланишни бошлашидан олдин қандай амалларни бажариши керак?,"{""Transport vositasining sozligini va to'la jixozlanganligini tekshirishi"",""Harakatlanish boshlanishi havfsiz bo'lishiga va harakatning boshqa ishtirokchilariga halaqit bermasligiga ishonch hosil qilishi kerak"",""Tegishli yo'nalishdagi burilishning yorug'lik ko'rsatkichi bilan ishora berishi"",""Sanab o'tilgan hamma harakatlarni bajarishi""}","{""Транспорт воситасининг созлигини ва тўла жихозланганлигини текшириши"",""Ҳаракатланиш бошланиши ҳавфсиз бўлишига ва ҳаракатнинг бошқа иштирокчиларига ҳалақит бермаслигига ишонч ҳосил қилиши керак"",""Тегишли йўналишдаги бурилишнинг ёруғлик кўрсаткичи билан ишора бериши"",""Санаб ўтилган ҳамма ҳаракатларни бажариши""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Shu joyda to'xtab turishga ruxsat etiladimi?,Шу жойда тўхтаб туришга рухсат етиладими?,"{""Ruxsat etiladi"",""Taqiqlanadi""}","{""Рухсат етилади"",""Тақиқланади""}",0,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Umurtqasining ko'krak qismi shikastlangan kishi transportda qanday tashiladi?,Умуртқасининг кўкрак қисми шикастланган киши транспортда қандай ташилади?,"{""Qattiq taxtada orqasi bilan yotgan holda"",""Yumshoq tushamada orqasi bilan yotgan holda"",""Qattiq taxtada yoni bilan yotgan holda""}","{""Қаттиқ тахтада орқаси билан ётган ҳолда"",""Юмшоқ тушамада орқаси билан ётган ҳолда"",""Қаттиқ тахтада ёни билан ётган ҳолда""}",0,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Qaysi transport vositasining haydovchisi yo'l berishi kerak?,Қайси транспорт воситасининг ҳайдовчиси йўл бериши керак?,"{""Avtomobil haydovchisi"",""Tramvay haydovchisi""}","{""Автомобил ҳайдовчиси"",""Трамвай ҳайдовчиси""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Transport vositasini orqaga harakatlantirish paytida haydovchi qanday talablarni bajarishi kerak?,Транспорт воситасини орқага ҳаракатлантириш пайтида ҳайдовчи қандай талабларни бажариши керак?,"{""Harakatning boshqa ishtirokchilariga halaqit bermaslik. Harakat havfsizligini taminlash uchun zarur bo'lsa, boshqa shaxslar yordamidan foydalanish"",""Boshqa shaxslar yordamidan foydalanish"",""Transport vositasida tumanga qarshi chiroqlar bo'lsa, ularni yoqish"",""Gabarit chiroqlarini yoqish""}","{""Ҳаракатнинг бошқа иштирокчиларига ҳалақит бермаслик. Ҳаракат ҳавфсизлигини таминлаш учун зарур бўлса, бошқа шахслар ёрдамидан фойдаланиш"",""Бошқа шахслар ёрдамидан фойдаланиш"",""Транспорт воситасида туманга қарши чироқлар бўлса, уларни ёқиш"",""Габарит чироқларини ёқиш""}",0,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
