numeration,question,answers,correct_answer,image_url,time_limit,audio_url,explanation_text
question_1,Qaysi avtomobil uchun bu belgilarning ta sir oralig'ida to'xtashga ruxsat etiladi?,"{""Qizilga"",""Ikkala avtomobilga"",""Hech qaysi biriga"",""«Nogiron» taniqlik belgisi bolgan sariq avtomobilga""}",3,https://lgacbbewpuzeyxijzfii.supabase.co/storage/v1/object/public/test-images/question-1.jpg,300,,"YHQ 1-ilovasi 3.27: Ushbu Qoidalarning 176-bandiga binoan «Nogiron» tanish belgisi bilan belgilangan avtomobillar va kajavali mototsikllarni boshqarayotgan nogiron haydovchilar 3.2, 3.3 va 3.28 belgilari talablaridan chetga chiqishlari mumkin. 7.18 belgi bolganda 3.27 belgisining ta sir doirasida to xtashga ruxsat etiladi."
question_2,Qaysi yo naltirgichlar bo'ylab harakatlanishga ruxsat etiladi?,"{""Faqat «A» yo'nalish bo'ylab"",""Faqat «Б» yo nalish bo'ylab"",""Faqat «B» yo'nalish bo'ylab"",""Faqat «A» va «Г» yo'nalishlari boylab"",""Faqat «Г» yo'nalish bo'ylab""}",3,https://lgacbbewpuzeyxijzfii.supabase.co/storage/v1/object/public/test-images/question-2.jpg,300,,YHQ 1-ilovasi 4.1.1 «Harakatlanish to'g'riga». Yo'lning qismi boshlanishida o'rnatilgan 4.1.1 belgisining ta'siri yaqin chorrahagacha joriy qilinadi. Belgi o'ng tomonda joylashgan hovlilarga va yo lga yondosh boshqa hududlarga burilishni taqiqlamaydi.
question_3,Tibbiyot qutichasi va o't o'chirgichi bolmagan qanday transport vositalaridan foydalanish taqiqlanadi?,"{""Faqat M1 toifali transport vositasi"",""Faqat M2; M3; N1 toifali transport vositasi"",""Faqat N2; N3 toifali transport vositasi"",""Barcha yuqorida ko'rsatilgan toifalar""}",3,https://postimg.cc/Dmfk0bYv,300,,"YHQ 3-ilovasi 7.10-bandiga asosan: Transport vositalari quyidagilar bilan jihozlanmagan bo'lsa ulardan foydalanish taqiqlanadi: M2, M3 toifadagi - favqulodda holatlarda oynani sindirish uchun foydalaniladigan bolg acha, tibbiyot qutichasi, 2 ta ot o chirgich (bittasi haydovchining kabinasida, ikkinchisi - yo lovchilar salonida), majburiy to xtaganini bildiruvchi belgi (yoki miltillovchi qizil chiroq) va nur qaytargichli kamzul (jilet); M1, N1, N2, N3 toifadagi, mikroavtobus va g'ildirakli traktorlarda tibbiyot qutichasi, o't o'chirgich, majburiy to xtaganligini bildiruvchi belgi (yoki miltillovchi qizil chiroq) va nur qaytargichli kamzul (jilet); M3, N2, N3 toifadagi - o zi yurib ketishidan saqlovchi, g ildirak diametriga muvofia (kamida ikkita) tirgak; O toifadagi, traktorlar, aravalar va boshqa o ziyurar mashinalarda - tashqi nur qaytargichlar; kajavali mototsikllarda - tibbiyot qutichasi, majburiy to xtaganligini bildiruvchi belgi."
question_4,Chorrahadan birinchi bolib otadi:,"{""Qizil avtomobil"",""Ko'k avtomobil"",""Sariq avtomobil"",""Yashil avtomobil""}",3,https://lgacbbewpuzeyxijzfii.supabase.co/storage/v1/object/public/test-images/question-4.jpg,300,,YHQ 16-bobi 105-bandiga asosan: Teng ahamiyatga ega bolgan yo llar kesishgan chorrahada relssiz transport vositasining haydovchisi o ngdan kelayotgan transport vositalariga yo l berishi shart.
question_5,Harakatlanish taqiqlangan:,"{""Qizil va oq avtomobillarga"",""Kok, yashil va oq avtomobillarga"",""Oq, ko'k va sariq avtomobillarga""}",1,https://lgacbbewpuzeyxijzfii.supabase.co/storage/v1/object/public/test-images/question-5.jpg,300,,"YHQ 7-bobi 38-bandiga asosan: Tartibga soluvchining ishoralari quyidagi ma'noni bildiradi: Qo'llari yon tomonga uzatilganda yoki tushirilganda: chap va ó'ng yon tomonidan tramvayga to'g'riga, relssiz transport vositalariga to'g'riga va o'ngga harakatlanishga, piyodalarga qatnov qismini kesib o'tishga ruxsat beriladi; old va orqa tomonidan barcha transport vositalari va piyodalarning harakatlanishi taqiqlanadi. o'ng qo'li oldinga uzatilganda: chap yonidan tramvayga chapga, relssiz transport vositalariga barcha yo nalishlarda; oldi tomonidan barcha transport vositalariga faqat o'ngga harakatlanishga ruxsat beriladi; orga tomonidan va o'ng yonidan barcha transport vositalarining harakatlanishi taqiqlanadi; piyodalarga tartibga soluvchining orqa tomonida qatnov gismini kesib o'tishga ruxsat etiladi. Qolini yuqoriga ko'targanda: ushbu Qoidalarning 42-bandida ko'rsatilganidan boshga hollarda transport vositalari va piyodalarning barcha yo'nalishlarda harakatlanishi taqiqlanadi; tartibga soluvchi haydovchi va piyodalarga tushunarli bolgan boshqa ishoralarni ham berishi mumkin. Ishoralar yaxshi ko'rinishi uchun tartibga soluvchi jezl yoki yorug'lik qaytaradigan qizil rangli moslamalarni qo llashi mumkin. Shuningdek, tartibga soluvchi o'z faoliyatini maxsus moslama (tumba) ustida turib olib borishi mumkin."
question_6,Qaysi transport vositasining haydovchisi chorrahadan birinchi bo'lib o'tadi?,"{""Avtomobil va avtobus haydovchisi"",""Tramvay haydovchisi""}",0,https://lgacbbewpuzeyxijzfii.supabase.co/storage/v1/object/public/test-images/question-6.jpg,300,,YHQ 15-bobi 100-bandiga asosan: Svetoforning taqiqlovchi qizil yoki sariq ishorasi bilan bir vaqtda yongan qo'shimcha tarmoqning ko'rsatkichli yashil ishorasi yo'nalishida harakatlanayotgan haydovchi boshqa yo'nalishlardan harakatlanayotgan transport vositalariga yol berishi kerak.
question_7,Shu joyda toxtab turishga ruxsat etiladimi?,"{""Ruxsat etiladi"",""Taqiqlanadi""}",0,https://lgacbbewpuzeyxijzfii.supabase.co/storage/v1/object/public/test-images/question-7.jpg,300,,YHQ 13-bobi 91-bandiga asosan: qatnov qismi kesishmalarida va kesishayotgan qatnov qismi chetiga 30 metrdan kam masofada (uch tomonlama kesishadigan chorrahalarda yondan tutashgan yolning sidirg'a chiziq yoki ajratuvchi mintaqa bilan ajratilgan qarama-qarshi tomoni bundan mustasno).
question_8,Haydovchi harakatlanishni boshlashdan oldin qanday amallarni bajarishi kerak?,"{""Transport vositasining sozligini va to la jihozlanganligini tekshirishi"",""Harakatlanish boshlanishi xavfsiz bolishiga va harakatning boshqa ishtirokchilariga xalaqit bermasligiga ishonch hosil qilishi"",""Tegishli yo'nalishdagi burilishning yorug lik korsatkichi bilan ishora berishi"",""Sanab o'tilgan barcha harakatlarni bajarishi""}",1,https://postimg.cc/Dmfk0bYv,300,,"YHQ 9-bobi 53-bandiga asosan: Haydovchi harakatlanishni boshlash, manyovr qilish (qayta tizilish, burilish, qayrilib olish, quvib o'tish va aylanib o'tish) va to'xtashdan oldin bajarilayotgan manyovr boshqa yol harakati qatnashchilarini harakatlanishiga xavf tug'dirmasligi kerak."
question_9,Umurtqa pog'onasining ko'krak sohasi shikastlangan jabrlanuvchini transportda qanday tashish kerak?,"{""Qattiq taxtada orqasi bilan yotgan holda"",""Yumshoq to'shamada orqasi bilan yotgan holda"",""Qattiq taxtada yoni bilan yotgan holda""}",0,https://postimg.cc/Dmfk0bYv,300,,"Umurtqa pag'onasi shikastlanganda orqa (umurtqa) miyani jarohatlanishidan saqlab qolish uchun umurtga pag'onalarining bir-biriga nisbatan siljishini oldini olish muhimdir. Umirtqaning minimal qo'zg'alishini ta'minlash uchun jarohatlangan kishini gattiq tekistlikka joylashtirib, uning harakatini imkon darajasida cheklash lozim."
question_10,Bunday taniqlik belgisi bilan belgilanadigan transport vositasi:,"{""Og'ir vaznli va yirik o'lchamli yuklarni tashuvchi"",""Uzunligi yuk bilan yoki yuksiz 20 metrdan ortiq bolgan transport vositasi"",""Furgon yukxonasida odamlarni tashuvchi""}",1,https://lgacbbewpuzeyxijzfii.supabase.co/storage/v1/object/public/test-images/question-10.jpg,300,,"YHQ 29-bobi 176-bandiga asosan: ""Uzun o'lchamli transport vositasi"" - yukli va yuksiz uzunligi 20 metrdan oshadigan transport vositasining, ikki yoki undan ko'proq tirkamali avtopoyezdlarning orqasida - kengligi 40 millimetr bolgan qizil hoshiyali, o'lchami 1200x200 millimetr bo'lgan, sariq rangli, nur qaytaruvchi to'rtburchak shaklidagi belgi."
